MOUNTAIN,ELEVATION,,DATE,,"COMPANIONS, COMMENTS",
ADAMS,,5774,,,                                                                                      ,
BOND,,4698,,,                                                                                      ,
BONDCLIFF,,4265,,,                                                                                      ,
"BOND, WEST PEAK",,4540*,,,                                                                                      ,
CABOT,,4170*,,,                                                                                      ,
CANNON [PROFILE],,4100*,,,                                                                                      ,
CARRIGAIN,,4700*,,,                                                                                      ,
CARTER DOME,,4832,,,                                                                                      ,
"CARTER, MIDDLE",,4610*,,,                                                                                      ,
"CARTER, SOUTH",,4430*,,,                                                                                      ,
EISENHOWER [PLEASANT],,4780*,,,                                                                                      ,
FIELD,,4340*,,,                                                                                      ,
FLUME,,4328,,,                                                                                      ,
GALEHEAD,,4024,,,                                                                                      ,
GARFIELD,,4500*,,,                                                                                      ,
HALE,,4054,,,                                                                                      ,
HANCOCK,,4420*,,,                                                                                      ,
"HANCOCK, SOUTH PEAK",,4319,,,                                                                                      ,
ISOLATION,,4004,,,                                                                                      ,
JACKSON,,4052,,,                                                                                      ,
JEFFERSON,,5712,,,                                                                                      ,
"KINSMAN, NORTH PEAK",,4293,,,                                                                                      ,
"KINSMAN, SOUTH PEAK",,4358,,,                                                                                      ,
LAFAYETTE,,5260*,,,                                                                                      ,
LIBERTY,,4459,,,                                                                                      ,
LINCOLN,,5089,,,                                                                                      ,
MADISON,,5367,,,                                                                                      ,
MONROE,,5384*,,,                                                                                      ,
MOOSILAUKE,,4802,,,                                                                                      ,
MORIAH,,4049,,,                                                                                      ,
OSCEOLA,,4340*,,,                                                                                      ,
"OSCEOLA, EAST PEAK",,4156,,,                                                                                      ,
OWLS HEAD,,4025,,,                                                                                      ,
PASSACONAWAY,,4043,,,                                                                                      ,
PIERCE [CLINTON],,4310,,,                                                                                      ,
TECUMSEH,,4003,,,                                                                                      ,
TOM,,4051,,,                                                                                      ,
"TRIPYRAMID, MIDDLE PEAK",,4140*,,,                                                                                      ,
"TRIPYRAMID, NORTH PEAK",,4180*,,,                                                                                      ,
"TWIN, NORTH",,4761,,,                                                                                      ,
"TWIN, SOUTH",,4902,,,                                                                                      ,
WASHINGTON,,6288,,,                                                                                      ,
WAUMBEK,,4006,,,                                                                                      ,
WHITEFACE,,4020*,,,                                                                                      ,
WILDCAT,,4422,,,                                                                                      ,
"WILDCAT, ""D"" PEAK",,4070*,,,                                                                                      ,
WILLEY,,4285,,,                                                                                      ,
ZEALAND,,4260*,,,                                                                                      ,
* Elevation obtained by interpolation,,,Please identify your final peak,,,
,,,,,,
NAME ,,,,,,Date of Birth  _____________
ADDRESS ,,,,,,AMC         YES [  ]     Female [  ]
,,,,,,MEMBER?  NO  [  ]        Male [  ]
E-MAIL,,,,,,_______ [  ]
,,,,,,
"Please return this form when complete, with essay and current application fee, to AMC Four Thousand Footer Committee, P.O. Box 444, Exeter, NH 03833-0444.  The AMC Four Thousand Footer Club is open to all hikers who have ascended and descended on foot the summits of all the peaks on this official list.  Good luck and good hiking!",,,,,,
